# Time-averaged data for fix velpos
# TimeStep v_vcmx v_vcmy v_vcmz v_xcmx v_xcmy v_xcmz
2003040 0.00263736 -0.000122385 0.00125242 -8.48338 12.3513 -71.8742
2003050 0.00448271 -0.000597614 0.00275049 -8.44577 12.346 -71.8537
2003060 0.00400938 0.000619728 0.00352212 -8.40138 12.3451 -71.8219
2003070 0.00211614 0.00205516 0.00402985 -8.37051 12.3591 -71.784
2003080 0.000938332 0.00251438 0.00438595 -8.35642 12.3827 -71.7418
2003090 0.0010079 0.00258723 0.00430297 -8.34749 12.4082 -71.6977
2003100 0.00145862 0.00299719 0.00331819 -8.33497 12.4356 -71.6587
2003110 0.00120643 0.00408108 0.00137639 -8.32078 12.4705 -71.6347
2003120 0.000288992 0.00517601 -0.000671245 -8.31321 12.5172 -71.6315
2003130 -0.000279217 0.00549842 -0.00206227 -8.3136 12.5714 -71.6458
2003140 -0.000723125 0.00492282 -0.00256642 -8.31845 12.6241 -71.6699
2003150 -0.00134018 0.00440569 -0.00220039 -8.32861 12.67 -71.694
2003160 -0.00227549 0.00470732 -0.00220945 -8.34643 12.7152 -71.7155
2003170 -0.00304842 0.0052096 -0.00199669 -8.37351 12.7649 -71.7375
2003180 -0.00321643 0.00477871 -0.000545895 -8.40545 12.8162 -71.7508
2003190 -0.00229347 0.00328906 0.000333693 -8.43429 12.8568 -71.7505
2003200 0.000470576 0.00163736 -0.00034624 -8.44521 12.8815 -71.7497
2003210 0.00544365 0.00013356 -0.00135264 -8.41729 12.8899 -71.7583
2003220 0.0106035 -0.000827219 -0.00203183 -8.33536 12.8861 -71.7755
2003230 0.0124139 -0.00112716 -0.00240322 -8.21704 12.8755 -71.7981
2003240 0.0116873 -0.000561926 -0.00192381 -8.09549 12.8666 -71.8208
2003250 0.0103968 0.000516606 -0.000247509 -7.98494 12.8658 -71.8325
2003260 0.00884789 0.00184828 0.00180716 -7.8884 12.878 -71.8243
2003270 0.00703291 0.00244063 0.00276343 -7.80882 12.9 -71.8001
2003280 0.00497199 0.00272169 0.0018883 -7.74861 12.926 -71.7754
2003290 0.00282458 0.00244455 0.000463308 -7.70964 12.9526 -71.7641
2003300 0.000693365 0.00128713 -0.000256191 -7.69205 12.9719 -71.7637
2003310 -0.0012923 -0.000232768 -0.000394334 -7.69539 12.977 -71.7672
2003320 -0.00251804 -0.00131777 -0.000383743 -7.71529 12.9689 -71.7711
2003330 -0.00294239 -0.00221025 -0.000327805 -7.74304 12.9512 -71.7748
2003340 -0.00313758 -0.00293049 -0.000226795 -7.77337 12.9252 -71.7775
